gallery_index,dag_id,tools,num_nodes,action_label,semantic_label,tsne_x,tsne_y,action_silhouette,semantic_silhouette,action_knn_purity,semantic_knn_purity
146,525,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,11.640602,-6.213222,0.122917585,0.0017802044,0.8,0.6
147,526,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-12.8516865,-1.8168646,0.15055463,-0.034809932,1.0,0.8
148,527,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-14.881605,-4.614461,0.18849537,-0.028543338,0.8,1.0
149,528,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-14.401796,-2.6121068,0.14441596,-0.03631801,0.8,1.0
150,529,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-12.51675,-4.332539,0.20779403,-0.03566846,1.0,0.6
151,530,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-12.12702,-4.8596573,0.1944021,-0.010387963,1.0,0.8
152,531,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-14.905193,-2.8323493,0.13983905,-0.039531842,0.6,0.8
153,532,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,-1.6782737,5.4006166,-0.04908861,-0.048860293,0.4,1.0
154,533,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,-2.4869754,8.214834,0.03003447,0.09323509,0.6,0.6
155,534,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,-0.9877708,6.7811317,-0.018103149,-0.07426853,0.6,1.0
