canonical_dag_hash,action_label,gps_adapter_pca_x,gps_adapter_pca_y,gps_adapter_tsne_x,gps_adapter_tsne_y,v3_graph_pca_x,v3_graph_pca_y,v3_graph_tsne_x,v3_graph_tsne_y,sbert_document_pca_x,sbert_document_pca_y,sbert_document_tsne_x,sbert_document_tsne_y
fb1c042f6374c04c,edit,0.7184718,-0.27829188,19.573492,1.9615048,0.52250504,0.5074636,15.995382,-4.1684575,-0.34943223,0.20300297,5.35457,-8.141521
34a0aa880cbc3dfb,edit,0.7576932,-0.2523669,18.842155,2.4381316,0.6479696,0.3971279,15.930543,-2.761246,-0.44872472,0.36094412,4.7313423,-8.0433855
63cea380b0436469,edit,0.7432182,-0.24970175,18.66985,2.6890423,0.61046666,0.3087314,15.827193,-2.4516141,-0.41022626,0.45033103,4.331713,-7.921365
1fcb20da2dee48b7,edit,0.7344685,-0.26085958,19.72181,2.3495653,0.57005,0.27853298,16.9032,-4.1348968,-0.46290046,0.38876337,4.8999248,-7.237405
60a2e460b4aed40e,read,-0.7117608,0.29922765,-21.934914,-5.2558093,-0.6669776,0.023166383,-16.234367,7.0283055,0.51616377,-0.49716333,-5.42619,21.612999
42df7c0cede269cb,read,-0.7011337,0.27026388,-21.193026,-4.227146,-0.77172077,0.1133604,-14.79737,8.339854,0.48689285,-0.4988448,-5.4171314,22.162792
f9702435d380389d,read,-0.68123966,0.29783714,-22.51685,-3.812191,-0.71957314,0.09140588,-16.23582,5.9834924,0.4879424,-0.55178493,-4.488079,21.773527
98eefb7e07977f0a,read,-0.68330806,0.33773017,-21.516203,-3.54281,-0.68532795,-0.07592873,-14.343327,7.315776,0.42167062,-0.641321,-4.735474,20.228968
cd7755cc84ec66e5,read,-0.6298473,0.35380292,-21.383549,-2.9937227,-0.5737715,0.05021896,-13.495841,7.2228093,0.37309194,-0.6351504,-4.427582,20.187181
607267b5fbc65e0f,read,-0.68657464,0.33869416,-22.854656,-4.4376283,-0.66047794,0.18958634,-15.257149,5.8737736,0.5265619,-0.49219114,-5.7711225,21.302614
3ca83b61140267e6,read,0.025450375,-0.73183495,-4.1134863,-0.46697488,-0.077328436,0.12297056,-3.047125,5.626276,0.047659494,0.54333544,-0.8935867,-9.292669
d95bdccbd8b4ded4,read,0.18360674,-0.744968,-4.459079,-1.1219511,-0.10560692,0.22936973,-3.8206975,6.026142,-0.005688503,0.40398297,-0.2708646,-8.695777
e8a3813bbf9ccd2d,read,0.01287275,-0.76144254,-4.6055026,-0.40269497,-0.084197775,0.08303954,-2.5212255,5.1618333,0.17287366,0.5534969,-1.4811325,-9.1645155
d039a485d8ac38d8,read,0.084477045,-0.7913925,-5.24328,-0.09437791,-0.13759413,0.13044706,-3.6060402,4.439677,0.050635036,0.65731335,-1.6159831,-8.411975
69a5f659fb509cf8,read,0.13915879,-0.77507156,-5.512398,0.105663635,-0.239249,0.13296096,-3.9392762,4.3017707,0.10721071,0.58760846,-1.4010935,-8.080141
bde563d77343f2a4,read,0.036657356,-0.7539124,-4.217023,-0.5945377,-0.11728066,0.15068015,-2.851391,5.92345,0.029907139,0.5583399,-0.8365463,-9.14767
a9142515c88c3717,edit,0.7696909,0.13361749,14.721163,-0.14922568,0.60646105,0.58549446,10.705313,-3.057182,-0.7006309,-0.33177942,13.514221,16.48366
69c47b6786eb4bef,edit,0.7647144,0.1915619,15.432725,0.16169594,0.40189406,0.65535206,9.637626,-3.1833463,-0.58848804,-0.42546168,13.369112,17.122145
658249e6a72bc16c,edit,0.79289275,0.084091425,15.069031,-0.54849494,0.6584531,0.51757145,11.192569,-3.2210062,-0.72108775,-0.2838089,13.8700285,16.282356
8bc7b787c23edb35,edit,0.85117394,-0.06195556,15.540561,-0.8413915,0.62080485,0.56100035,11.364968,-4.1395073,-0.6875395,-0.27966213,14.27396,16.846142
805adb6e809c1b27,edit,0.8450299,-0.04948608,15.903668,-0.718215,0.5298959,0.4909212,11.497721,-4.5869794,-0.6591573,-0.32406694,14.37753,16.62088
3845602c2926dc63,edit,0.77122474,0.117812894,14.942935,-0.11400456,0.5338457,0.6511126,10.427738,-3.5107148,-0.69728684,-0.31349137,13.32785,16.624746
0bf3a4c4b19721b0,read,-0.71510863,0.2784176,-21.500237,-5.192968,-0.6662857,0.04951072,-15.379601,7.1314597,0.47720072,-0.5682636,-4.730406,21.397774
40f2a5d0f8117dd1,read,-0.7271687,0.22276005,-20.982048,-4.714649,-0.67098135,0.0372697,-15.491761,8.495629,0.4422149,-0.5398506,-4.826337,22.347708
8bc68ba216ebf677,read,-0.68814284,0.28881785,-22.162802,-3.9897323,-0.7261051,0.06254876,-16.276632,6.106732,0.45056164,-0.58857477,-4.072058,21.605074
607e0fadc03d3064,read,-0.6449192,0.36711034,-22.025478,-3.2175198,-0.6180956,0.10399072,-14.1362505,6.9722905,0.3793895,-0.66986233,-3.9476244,20.368185
5a2b0fb3bef77f35,read,-0.7193645,0.2873275,-22.582502,-5.105095,-0.6424259,0.14507821,-15.219343,6.44222,0.4646652,-0.54365045,-5.1220055,21.13979
1b4956072a22f7ba,read,-0.44095722,-0.1761556,-9.563806,0.7154029,0.069078036,0.022652654,-4.351542,0.639875,0.23560563,0.28305554,-2.0041127,-3.1284113
87cc02ed7ab9af7d,read,-0.4221085,-0.1229014,-9.58587,1.0316583,0.18279406,-0.045813404,-4.9566,0.2070532,0.18867658,0.25754216,-2.0046072,-2.808714
