lambda_ged,ged_scale,ged_margin,train_ok,eval_ok,error,checkpoint_dir,eval_csv,mean_ged_error,mrr@1,mrr@3,mrr@5,recall@1,recall@3,recall@5,tool_set_f1
0.1,3.5,0.2,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t054_lg0p1_gs3p5_gm0p2,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t054_lg0p1_gs3p5_gm0p2.csv,0.3072916666666667,0.9375,0.9557291666666666,0.9557291666666666,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.1,3.5,0.3,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t056_lg0p1_gs3p5_gm0p3,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t056_lg0p1_gs3p5_gm0p3.csv,0.3072916666666667,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.1,4.0,0.15,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t060_lg0p1_gs4p0_gm0p15,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t060_lg0p1_gs4p0_gm0p15.csv,0.3020833333333333,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9708333333333333
0.1,4.0,0.25,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t062_lg0p1_gs4p0_gm0p25,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t062_lg0p1_gs4p0_gm0p25.csv,0.3333333333333333,0.9322916666666666,0.953125,0.953125,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.1,4.0,0.3,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t063_lg0p1_gs4p0_gm0p3,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t063_lg0p1_gs4p0_gm0p3.csv,0.3333333333333333,0.9322916666666666,0.953125,0.953125,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.15,0.0,0.0,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t064_lg0p15_gs0p0_gm0p0,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t064_lg0p15_gs0p0_gm0p0.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.15,0.0,0.05,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t065_lg0p15_gs0p0_gm0p05,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t065_lg0p15_gs0p0_gm0p05.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.15,0.0,0.15,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t067_lg0p15_gs0p0_gm0p15,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t067_lg0p15_gs0p0_gm0p15.csv,0.3072916666666667,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.15,0.5,0.15,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t074_lg0p15_gs0p5_gm0p15,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t074_lg0p15_gs0p5_gm0p15.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.15,1.5,0.2,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t089_lg0p15_gs1p5_gm0p2,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t089_lg0p15_gs1p5_gm0p2.csv,0.3333333333333333,0.9322916666666666,0.953125,0.953125,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.15,2.5,0.3,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t105_lg0p15_gs2p5_gm0p3,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t105_lg0p15_gs2p5_gm0p3.csv,0.3072916666666667,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.15,3.0,0.1,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t108_lg0p15_gs3p0_gm0p1,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t108_lg0p15_gs3p0_gm0p1.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.15,4.0,0.25,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t125_lg0p15_gs4p0_gm0p25,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t125_lg0p15_gs4p0_gm0p25.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.2,0.0,0.05,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t128_lg0p2_gs0p0_gm0p05,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t128_lg0p2_gs0p0_gm0p05.csv,0.3333333333333333,0.9322916666666666,0.953125,0.953125,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.2,0.0,0.2,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t131_lg0p2_gs0p0_gm0p2,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t131_lg0p2_gs0p0_gm0p2.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.2,0.5,0.1,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t136_lg0p2_gs0p5_gm0p1,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t136_lg0p2_gs0p5_gm0p1.csv,0.3333333333333333,0.9322916666666666,0.953125,0.953125,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.2,1.0,0.0,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t141_lg0p2_gs1p0_gm0p0,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t141_lg0p2_gs1p0_gm0p0.csv,0.3072916666666667,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.2,2.5,0.1,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t164_lg0p2_gs2p5_gm0p1,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t164_lg0p2_gs2p5_gm0p1.csv,0.3072916666666667,0.9375,0.9557291666666666,0.9557291666666666,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.2,2.5,0.15,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t165_lg0p2_gs2p5_gm0p15,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t165_lg0p2_gs2p5_gm0p15.csv,0.3072916666666667,0.9375,0.9557291666666666,0.9557291666666666,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.2,4.0,0.1,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t185_lg0p2_gs4p0_gm0p1,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t185_lg0p2_gs4p0_gm0p1.csv,0.22916666666666666,0.9479166666666666,0.9600694444444445,0.9600694444444445,0.9479166666666666,0.9739583333333334,0.9739583333333334,0.9697627314814814
0.25,2.0,0.15,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t221_lg0p25_gs2p0_gm0p15,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t221_lg0p25_gs2p0_gm0p15.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
