gallery_index,dag_id,tools,num_nodes,action_label,semantic_label,tsne_x,tsne_y,action_silhouette,semantic_silhouette,action_knn_purity,semantic_knn_purity,pca_x,pca_y
111,490,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,12.582875,-0.14459363,0.035973493,0.01921786,1.0,0.2,0.42054796,0.0042624394
112,491,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,12.070053,-2.0890381,0.05303031,0.024428373,0.8,0.8,0.44591957,-0.24217673
113,492,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,5.998921,-3.069687,0.026018223,0.13854927,1.0,0.6,0.28941464,-0.019243585
114,493,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,2.2778301,0.41162574,-0.016718214,0.11159838,1.0,0.8,0.43121707,0.27865866
115,494,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,13.355775,6.426865,-0.049623236,0.0849591,0.2,0.4,0.24237165,0.16442251
116,495,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,6.4049616,5.909092,0.03237443,0.0052421563,1.0,0.2,0.40898705,0.27331898
117,496,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,5.6253896,-1.5889622,0.06723661,0.15496513,0.6,0.6,0.39516857,-0.0063383053
118,497,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,-12.253235,10.314011,-0.14712396,-0.0015152405,1.0,1.0,-0.14084269,0.24578743
119,498,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,-11.931991,7.9386034,-0.27796704,-0.0041514416,0.8,0.8,-0.091671534,0.4601776
120,499,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,-13.471544,7.2553234,-0.10370502,-0.033585418,0.8,0.8,-0.30412686,0.3089947
121,500,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,-13.140952,9.145499,-0.10899184,-0.009948957,1.0,0.8,-0.12785445,0.46942905
122,501,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,-11.886819,9.335535,-0.2309438,-0.018950213,1.0,1.0,-0.006106707,0.34187463
123,502,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,-1.4917935,-19.762747,0.05300193,-0.07252591,0.6,0.6,0.2640637,-0.5791421
124,503,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,-2.5560749,-17.235573,0.003876668,-0.09710358,0.8,0.8,0.12856793,-0.31490466
125,504,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,-2.5955038,-19.280777,0.061932154,-0.07400289,0.8,0.8,0.22651456,-0.48495695
126,505,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,-0.6913319,-18.16634,0.060420465,-0.08424148,0.6,0.6,0.17377189,-0.4504371
127,506,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,-0.014137742,-17.643988,0.07655163,-0.063903205,0.8,0.6,0.21178478,-0.3436324
128,507,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,-2.6527202,-18.731068,0.094663724,-0.09557042,0.6,0.6,0.25169477,-0.5138479
129,508,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,13.669539,-3.7319982,0.020279236,-0.0016031237,0.8,0.6,0.3737858,-0.28246155
130,509,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,14.176172,-0.6811484,0.023730982,-0.0332365,0.8,0.6,0.2544976,-0.1698921
131,510,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,14.989012,-2.049356,0.040060386,0.017905835,1.0,0.8,0.3874636,-0.0869302
132,511,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,5.654199,17.22995,0.00022671082,-0.028612753,0.8,0.6,0.39756697,-0.085431084
133,512,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,5.1433783,17.158085,-0.1303878,-0.013755204,0.6,0.2,0.25567695,0.061266605
134,513,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,15.280871,-2.608079,0.023270532,-0.004650936,0.8,0.8,0.2831928,-0.18809682
135,514,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-9.623661,4.497611,0.04619818,-0.00548827,0.8,0.8,-0.22307359,0.1507811
136,515,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-8.37852,2.6355503,0.108312786,-0.02915069,0.6,0.6,-0.31995973,0.32552496
137,516,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-9.978725,3.0846164,0.042412847,-0.002510686,1.0,1.0,-0.20316069,0.24035385
138,517,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-7.900897,5.4977264,-0.0025005373,-0.04014504,0.8,0.8,-0.11130376,0.34325972
139,518,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-7.7116766,5.9989986,0.010877489,-0.009170724,0.6,0.6,-0.09752055,0.44508412
140,519,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-9.421857,3.5639167,0.09065734,0.008706222,0.8,0.8,-0.21098626,0.27083087
141,520,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,4.53405,-10.101565,0.13280725,-0.051174816,0.8,0.2,0.06282936,-0.5546067
142,521,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,4.4654584,7.4623747,0.07594609,-0.04355859,0.8,0.4,0.092829436,-0.05577218
143,522,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,2.9315698,-9.514126,0.1451364,-0.08095719,0.8,0.6,0.0074008238,-0.4884324
144,523,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,6.8975654,-8.683976,0.18447287,-0.08154626,1.0,0.8,0.21690857,-0.36638978
145,524,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,7.3089576,-8.689013,0.07442567,-0.050378874,1.0,0.4,0.14403306,-0.1155181
146,525,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,3.0702531,-8.694182,0.122917585,0.0017802044,0.8,0.6,-0.008156653,-0.39225352
